concessionaria_ped;praca_de_pedagio;rodovia_ped;uf_ped;km_m_ped;municipio_ped;sentido_ped;situacao_ped;latitude_ped;longitude_ped;concessionaria_rad;tipo_de_radar;rodovia_rad;uf_rad;km_m_rad;municipio;tipo_pista;sentido_rad;situacao_rad;latitude_rad;longitude_rad;velocidade_leve;velocidade_pesado;UF_rod;extencao_km_federal
CRO;P3 ;BR-364;MT;316,55;Campo Verde;Crescente/Decrescente;Ativo;-15,81;-55,31;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;140,48;Balneário Camboriú;Principal;Crescente;Ativo;-27,042947;-48,599675;60;60;;
ECO050;ARAGUARI I;BR-50;MG;13,94;Araguari;Crescente/Decrescente;Ativo;-18,54;-48,05;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;50,51;Joinville;Principal;Decrescente;Ativo;-26,39035;-48,839967;80;80;;
ECO050;ARAGUARI II;BR-50;MG;51,5;Araguari;Crescente/Decrescente;Ativo;-18,75;-48,24;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;48,77;Joinville;Principal;Crescente;Ativo;-26,3802;-48,8516;80;80;;
ECO050;CAMPO ALEGRE;BR-50;GO;226;Campo Alegre de Goiás;Crescente/Decrescente;Ativo;-17,77;-47,75;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;668,88;Guaratuba;Principal;Decrescente;Ativo;-25,8749;-48,9363;60;60;;
ECO050;DELTA;BR-50;MG;198,2;Delta;Crescente/Decrescente;Ativo;-19,92;-47,83;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;668,334;Guaratuba;Principal;Crescente;Ativo;-25,8693;-48,9341;60;60;;
ECO050;IPAMERI;BR-50;GO;144;Ipameri;Crescente/Decrescente;Ativo;-17,12;-47,72;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;667,013;Guaratuba;Principal;Crescente;Ativo;-25,8637;-48,9348;60;60;;
ECO050;UBERABA;BR-50;MG;104,98;Uberaba;Crescente/Decrescente;Ativo;-19,18;-48,16;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;664,773;Guaratuba;Principal;Crescente;Ativo;-25,8582;-48,9512;60;60;;
ECOSUL;Praça Capão Seco;BR-392;RS;52,3;Rio Grande;Crescente/Decrescente;Ativo;-31,851958;-52,326177;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;650,8;Tijucas do Sul;Principal;Decrescente;Ativo;-25,8451;-49,0726;60;60;;
ECOSUL;Praça Cristal;BR-116;RS;430,8;Cristal;Crescente/Decrescente;Ativo;-31,026386;-52,04943;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;214,95;Palhoça;Principal;Decrescente;Ativo;-27,651552;-48,675658;100;80;;
ECOSUL;Praça Glória;BR-392;RS;111,4;Canguçu;Crescente/Decrescente;Ativo;-31,449786;-52,640644;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;213,75;Palhoça;Principal;Crescente;Ativo;-27,642355;-48,669143;100;80;;
ECOSUL;Praça Pavão;BR-116;RS;541,2;Capão do Leão;Crescente/Decrescente;Ativo;-31,820075;-52,526711;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;212,79;Palhoça;Principal;Decrescente;Ativo;-27,635501;-48,663834;100;80;;
ECOSUL;Praça Retiro;BR-116;RS;510,7;Pelotas;Crescente/Decrescente;Ativo;-31,625261;-52,318116;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;210,75;São José;Principal;Crescente;Ativo;-27,621765;-48,650873;100;80;;
ECOVIAS CAPIXABA;P1 - Pedro Canário ;BR-101;ES;1;Pedro Canário;Crescente/Decrescente;Ativo;-18,184708;-39,922116;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;209,11;São José;Principal;Decrescente;Ativo;-27,610782;-48,639453;100;80;;
ECOVIAS CAPIXABA;P2 - São Mateus ;BR-101;ES;85,8;São Mateus;Crescente/Decrescente;Ativo;-18,863974;-39,938705;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;208,713;São José;Principal;Crescente;Ativo;-27,608003;-48,637017;100;80;;
ECOVIAS CAPIXABA;P3 - Aracruz ;BR-101;ES;171,7;Aracruz;Crescente/Decrescente;Ativo;-19,563099;-40,177621;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;206,7;São José;Principal;Decrescente;Ativo;-27,597955;-48,620502;100;80;;
ECOVIAS CAPIXABA;P4 - Serra ;BR-101;ES;242;Serra;Crescente/Decrescente;Ativo;-20,032565;-40,396624;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;205,15;São José;Principal;Crescente;Ativo;-27,584371;-48,615787;100;80;;
ECOVIAS CAPIXABA;P5 - Guarapari ;BR-101;ES;320,8;Guarapari;Crescente/Decrescente;Ativo;-20,519316;-40,478609;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;203,583;São José;Principal;Decrescente;Ativo;-27,570346;-48,613682;100;80;;
ECOVIAS CAPIXABA;P6 - Itapemirim ;BR-101;ES;398,9;Itapemirim;Crescente/Decrescente;Ativo;-20,878586;-40,966118;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;202,625;São José;Principal;Crescente;Ativo;-27,562118;-48,616194;100;80;;
ECOVIAS CAPIXABA;P7 - Mimoso do Sul ;BR-101;ES;452;Mimoso do Sul;Crescente/Decrescente;Ativo;-21,158397;-41,280614;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;191,48;Biguaçu;Principal;Decrescente;Ativo;-27,480122;-48,644851;100;80;;
ECOVIAS DO ARAGUAIA;P1 - Aliança do Tocantins;BR-153;TO;640;Aliança do Tocantins;Crescente/Decrescente;Ativo;-11,4461;-48,990283;AUTOPISTA LITORAL SUL;Controlador;BR-101;SC;190,8;Biguaçu;Principal;Crescente;Ativo;-27,475534;-48,640839;100;80;;
ECOVIAS DO ARAGUAIA;P2 - Alvorada;BR-153;TO;744,91;Alvorada;Crescente/Decrescente;Ativo;-12,34;-49,15;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;671;Guaratuba;Principal;Crescente;Ativo;-25,892288;-48,93244;80;60;;
ECOVIAS DO ARAGUAIA;P3 - Porangatu;BR-153;GO;12,5;Porangatu;Crescente/Decrescente;Ativo;-12,943414;-49,133122;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;667,01;Guaratuba;Principal;Decrescente;Ativo;-25,860241;-48,937593;60;60;;
ECOVIAS DO ARAGUAIA;P4 - Estrela do Norte;BR-153;GO;116,12;Estrela do Norte;Crescente/Decrescente;Ativo;-13,791358;-49,034842;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;665,76;Guaratuba;Principal;Decrescente;Ativo;-25,863714;-48,942796;60;60;;
ECOVIAS DO ARAGUAIA;P5 - Campinorte;BR-153;GO;182,04;Campinorte;Crescente/Decrescente;Ativo;-14,372969;-49,158264;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;665,83;Guaratuba;Principal;Crescente;Ativo;-25,865283;-48,949139;60;60;;
ECOVIAS DO ARAGUAIA;P6 - Hidrolina;BR-153;GO;233,4;Hidrolina;Crescente/Decrescente;Ativo;-14,799372;-49,284164;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;664,074;Guaratuba;Principal;Decrescente;Ativo;-25,853983;-48,957811;60;60;;
ECOVIAS DO ARAGUAIA;P7 - Jaraguá;BR-153;GO;367,5;Jaraguá;Crescente/Decrescente;Ativo;-15,827072;-49,281722;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;657;Tijucas do Sul;Principal;Decrescente;Ativo;-25,840074;-49,018358;80;80;;
ECOVIAS DO ARAGUAIA;P8 - Santa Rita do Novo Destino;BR-80;GO;155,5;Santa Rita do Novo Destino;Crescente/Decrescente;Ativo;-14,814189;-49,042442;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;656;Tijucas do Sul;Principal;Decrescente;Ativo;-25,84002;-49,02723;80;80;;
ECOVIAS DO ARAGUAIA;P9 - Corumbá de Goiás;BR-414;GO;404,08;Corumbá de Goiás;Crescente/Decrescente;Ativo;-16,001028;-48,840289;AUTOPISTA LITORAL SUL;Controlador;BR-376;PR;652,69;Tijucas do Sul;Principal;Decrescente;Ativo;-25,842214;-49,056146;80;80;;
ECOVIAS DO CERRADO;P6 - CACHOEIRA ALTA;BR-364;GO;92,85;Cachoeira Alta;Crescente/Decrescente;Ativo;-18,47;-51,08;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;233,75;Palhoça;Principal;Decrescente;Ativo;-27,808489;-48,638497;60;60;;
ECOVIAS DO CERRADO;P7 - JATAÍ;BR-364;GO;156,18;Jataí;Crescente/Decrescente;Ativo;-18,11;-51,48;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;233,565;Palhoça;Principal;Crescente;Ativo;-27,807475;-48,638678;60;60;;
ECOVIAS DO CERRADO;P1 - UBERLÂNDIA;BR-365;MG;646;Uberlândia;Crescente/Decrescente;Ativo;-18,88;-48,52;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;175,26;Biguaçu;Principal;Decrescente;Ativo;-27,340886;-48,627872;80;80;;
ECOVIAS DO CERRADO;P2 - MONTE ALEGRE;BR-365;MG;704,12;Monte Alegre de Minas;Crescente/Decrescente;Ativo;-18,88;-49,04;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;141,46;Balneário Camboriú;Principal;Crescente;Ativo;-27,051844;-48,600036;60;60;;
ECOVIAS DO CERRADO;P3 - ITUIUTABA;BR-365;MG;765,37;Ituiutaba;Crescente/Decrescente;Ativo;-18,96;-49,59;AUTOPISTA LITORAL SUL;Redutor;BR-376;PR;665,27;Guaratuba;Principal;Crescente;Ativo;-25,861556;-48,950722;60;60;;
ECOVIAS DO CERRADO;P4 - SANTA VITÓRIA;BR-365;MG;834,45;Santa Vitória;Crescente/Decrescente;Ativo;-18,912533;-50,224138;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;208,053;São José;Marginal;Decrescente;Ativo;-27,603294;-48,631939;60;60;;
ECOVIAS DO CERRADO;P5 - PARANAIGUARA;BR-364;GO;32,6;Paranaiguara;Crescente/Decrescente;Ativo;-18,88;-50,76;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;202,75;São José;Marginal;Crescente;Ativo;-27,563206;-48,615763;60;60;;
ECOVIAS PONTE;NITEROÍ-1;BR-101;RJ;322,23;Niterói;Decrescente;Ativo;-22,877944;-43,115734;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;147,45;Itapema;Marginal;Decrescente;Ativo;-27,096244;-48,61831;40;40;;
ECOVIAS RIO MINAS;P03 Santo Aleixo;BR-116;RJ;118,702;Magé;Crescente/Decrescente;Ativo;-22,610815;-43,032112;AUTOPISTA LITORAL SUL;Redutor;BR-101;SC;147,4;Itapema;Marginal;Crescente;Ativo;-27,095852;-48,618677;40;40;;
ECOVIAS RIO MINAS;P04 Viúva Graça;BR-116;RJ;211,674;Seropédica;Crescente/Decrescente;Ativo;-22,716277;-43,716858;AUTOPISTA PLANALTO SUL;Controlador;BR-116;PR;125,95;Fazenda Rio Grande;Principal;Decrescente;Ativo;-25,639;-49,313;60;60;;
ECOVIAS RIO MINAS;P05 Viúva Graça (B);BR-116;RJ;213,103;Seropédica;Crescente/Decrescente;Ativo;-22,715213;-43,730252;AUTOPISTA PLANALTO SUL;Redutor;BR-116;PR;121,8;Curitiba;Principal;Crescente;Ativo;-25,601;-49,318;80;80;;
