concessionaria_ped;praca_de_pedagio;rodovia_ped;uf_ped;km_m_ped;municipio_ped;sentido_ped;situacao_ped;latitude_ped;longitude_ped;concessionaria_rad;tipo_de_radar;rodovia_rad;uf_rad;km_m_rad;municipio;tipo_pista;sentido_rad;situacao_rad;latitude_rad;longitude_rad;velocidade_leve;velocidade_pesado;UF_rod;extencao_km_federal
RIOSP;Free Flow PFE009 - PEDARD Norte;BR-116;SP;210,2;Guarulhos;Decrescente;Ativo;-23,429571;-46,412718;CRO;Controlador;BR-364;MT;277,2;Jaciara;Principal;Decrescente;Ativo;-15,948487;-55,004495;60;60;;
RIOSP;Free Flow PFE009 - PEDARU Norte;BR-116;SP;210,2;Guarulhos;Decrescente;Ativo;-23,429571;-46,412718;CRO;Controlador;BR-364;MT;275,9;Jaciara;Principal;Crescente/Decrescente;Ativo;-15,952476;-54,994747;60;60;;
RIOSP;Free Flow PFE009 - PFS010 Norte;BR-116;SP;210,2;Guarulhos;Decrescente;Ativo;-23,429571;-46,412718;CRO;Controlador;BR-364;MT;209,63;Rondonópolis;Principal;Decrescente;Ativo;-16,428308;-54,694709;60;60;;
RIOSP;Free Flow Itaguaí;BR-101;RJ;414,9;Itaguaí;Crescente/Decrescente;Ativo;-22,91;-43,89;CRO;Redutor;BR-364;MT;204,1;Rondonópolis;Principal;Decrescente;Ativo;-16,462925;-54,659422;40;40;;
RIOSP;Free Flow Paraty;BR-101;RJ;538,5;Paraty;Crescente/Decrescente;Ativo;-23,05;-44,58;CRO;Controlador;BR-163;MT;750;Sorriso;Principal;Crescente;Ativo;-12,572691;-55,72722;60;60;;
RIOSP;Free Flow Mangaratiba;BR-101;RJ;447,3;Mangaratiba;Crescente/Decrescente;Ativo;-23,00632;-44,099135;CRO;Controlador;BR-163;MT;750,05;Sorriso;Principal;Decrescente;Ativo;-12,572183;-55,727181;60;60;;
RIOSP;Guararema Sul;BR-116;SP;180,7;Guararema;Crescente;Ativo;-23,34;-46,15;CRO;Redutor;BR-163;MT;766,7;Sorriso;Principal;Crescente;Ativo;-12,441795;-55,653758;40;40;;
RIOSP;Arujá Rodoanel;BR-116;SP;204,8;Arujá;Decrescente;Ativo;-23,42;-46,37;CRO;Controlador;BR-163;MT;755,78;Sorriso;Principal;Crescente;Ativo;-12,528071;-55,703627;80;80;;
RIOSP;Guararema Norte;BR-116;SP;182,4;Santa Isabel;Decrescente;Ativo;-23,35;-46,16;CRO;Controlador;BR-163;MT;107,92;Rondonópolis;Principal;Crescente;Ativo;-16,587894;-54,690641;80;80;;
RIOSP;Arujá Norte;BR-116;SP;204,3;Arujá;Decrescente;Ativo;-23,41;-46,36;CRO;Redutor;BR-364;MT;316,5;Campo Verde;Principal;Crescente;Ativo;-15,811844;-55,309428;40;40;;
RIOSP;Arujá Sul;BR-116;SP;204,3;Arujá;Crescente;Ativo;-23,41;-46,36;CRO;Redutor;BR-364;MT;383,1;Cuiabá;Principal;Crescente;Ativo;-15,701865;-55,829515;40;40;;
RIOSP;Itatiaia Norte;BR-116;RJ;324,8;Itatiaia;Decrescente;Ativo;-22,49;-44,57;CRO;Redutor;BR-364;MT;579,1;Nobres;Principal;Decrescente;Ativo;-14,599294;-56,240942;40;40;;
RIOSP;Itatiaia Sul;BR-116;RJ;324,8;Itatiaia;Crescente;Ativo;-22,49;-44,57;ECO050;Redutor;BR-50;MG;174;Uberaba;Principal;Crescente;Ativo;-19,767581;-47,975231;60;60;;
RIOSP;Jacareí Norte;BR-116;SP;165,1;Jacareí;Decrescente;Ativo;-23,3;-46,01;ECO050;Redutor;BR-50;MG;176;Uberaba;Principal;Decrescente;Ativo;-19,779175;-47,960438;60;60;;
RIOSP;Jacareí Sul;BR-116;SP;165,1;Jacareí;Crescente;Ativo;-23,3;-46,01;ECO050;Controlador;BR-50;GO;306;Cumari;Principal;Crescente;Ativo;-18,369914;-48,055494;60;60;;
RIOSP;Moreira César Norte;BR-116;SP;87;Pindamonhangaba;Decrescente;Ativo;-22,93;-45,36;ECO050;Controlador;BR-50;GO;99,83;Cristalina;Principal;Decrescente;Ativo;-16,781242;-47,630394;80;80;;
RIOSP;Moreira César Sul;BR-116;SP;87;Pindamonhangaba;Crescente;Ativo;-22,93;-45,36;ECO050;Redutor;BR-50;GO;96,35;Cristalina;Principal;Crescente;Ativo;-16,757301;-47,608611;40;40;;
RIOSP;Viúva Graça Norte;BR-116;RJ;207,1;Seropédica;Decrescente;Ativo;-22,716155;-43,716697;ECO050;Redutor;BR-50;MG;182,2;Uberaba;Principal;Decrescente;Ativo;-19,7935;-47,911362;50;50;;
RIOSP;Viuvinha Norte;BR-116;RJ;208,6;Seropédica;Decrescente;Ativo;-22,715133;-43,730239;ECO050;Redutor;BR-50;MG;182,1;Uberaba;Principal;Crescente;Ativo;-19,79291;-47,91191;50;50;;
RODOVIA DO AÇO;BARRA DA PIRAI;BR-393;RJ;265,2;Barra do Piraí;Crescente/Decrescente;Ativo;-22,485435;-43,919084;ECO050;Redutor;BR-50;MG;171,27;Uberaba;Principal;Decrescente;Ativo;-19,746402;-47,983814;70;70;;
RODOVIA DO AÇO;PARAÍBA DO SUL;BR-393;RJ;195,2;Paraíba do Sul;Crescente/Decrescente;Ativo;-22,208911;-43,382139;ECO050;Redutor;BR-50;MG;171,36;Uberaba;Principal;Crescente;Ativo;-19,74795;-47,983104;70;70;;
RODOVIA DO AÇO;SAPUCAIA;BR-393;RJ;125,7;Sapucaia;Crescente/Decrescente;Ativo;-21,962326;-42,861675;ECO050;Redutor;BR-50;MG;55,8;Uberlândia;Principal;Decrescente;Ativo;-18,78167;-48,236263;60;60;;
TRANSBRASILIANA;P 01;BR-153;SP;35,8;Onda Verde;Crescente/Decrescente;Ativo;-20,588611;-49,318055;ECO050;Redutor;BR-50;MG;55,1;Uberlândia;Principal;Decrescente;Ativo;-18,781747;-48,236359;60;60;;
TRANSBRASILIANA;P 02;BR-153;SP;98,9;José Bonifácio;Crescente/Decrescente;Ativo;-20,9975;-49,628333;ECO050;Redutor;BR-50;MG;53,8;Araguari;Principal;Crescente;Ativo;-18,768009;-48,245222;60;60;;
TRANSBRASILIANA;P 03;BR-153;SP;183,8;Lins;Crescente/Decrescente;Ativo;-21,710555;-49,808611;ECO050;Redutor;BR-50;MG;52,7;Araguari;Principal;Crescente;Ativo;-18,758371;-48,240763;60;60;;
TRANSBRASILIANA;P 04;BR-153;SP;268,1;Vera Cruz;Crescente/Decrescente;Ativo;-22,336311;-49,898833;ECO050;Controlador;BR-50;GO;281;Catalão;Principal;Crescente;Ativo;-18,18385;-47,944238;60;60;;
VIA ARAUCÁRIA;P01 São Luiz do Purunã;BR-277;PR;140;Balsa Nova;Crescente/Decrescente;Ativo;-25,47;-49,66;ECO050;Controlador;BR-50;GO;279,65;Catalão;Principal;Crescente;Ativo;-18,176581;-47,933682;60;60;;
VIA ARAUCÁRIA;P02 Porto Amazonas;BR-277;PR;165,7;Porto Amazonas;Crescente/Decrescente;Ativo;-25,47;-49,9;ECO050;Controlador;BR-50;GO;278,65;Catalão;Principal;Decrescente;Ativo;-18,172243;-47,925259;60;60;;
VIA ARAUCÁRIA;P03 Irati;BR-277;PR;256,1;Irati;Crescente/Decrescente;Ativo;-25,44;-50,72;ECOVIAS CAPIXABA;Controlador;BR-101;ES;370,88;Anchieta;Principal;Decrescente;Ativo;-20,770859;-40,765549;60;60;;
VIA ARAUCÁRIA;P04 Imbituva;BR-373;PR;216;Imbituva;Crescente/Decrescente;Ativo;-25,16;-50,54;ECOVIAS CAPIXABA;Controlador;BR-101;ES;150,038;Linhares;Principal;Crescente/Decrescente;Ativo;-19,404521;-40,060801;60;60;;
VIA ARAUCÁRIA;P05 Lapa;BR-476;PR;191,42;Lapa;Crescente/Decrescente;Ativo;-25,725664;-49,699992;ECOVIAS CAPIXABA;Controlador;BR-101;ES;14,194;Pedro Canário;Principal;Crescente;Ativo;-18,28236;-39,956879;60;60;;
VIA BRASIL;P3 - Trairão;BR-163;PA;636,015;Trairão;Crescente/Decrescente;Ativo;-4,620594;-55,951381;ECOVIAS CAPIXABA;Controlador;BR-101;ES;15,695;Pedro Canário;Principal;Crescente/Decrescente;Ativo;-18,294219;-39,95647;60;60;;
VIA BRASIL;P1 - Claúdia;BR-163;MT;897;Cláudia;Crescente/Decrescente;Ativo;-11,339218;-55,331222;ECOVIAS CAPIXABA;Controlador;BR-101;ES;18,026;Pinheiros;Principal;Decrescente;Ativo;-18,31302;-39,95461;60;60;;
VIA BRASIL;P2 - Guarantã do Norte;BR-163;MT;1089,45;Terra Nova do Norte;Crescente/Decrescente;Ativo;-9,756473;-54,89443;ECOVIAS CAPIXABA;Controlador;BR-101;ES;31,061;Conceição da Barra;Principal;Crescente;Ativo;-18,42086;-39,93561;60;60;;
VIA COSTEIRA;P1-Laguna;BR-101;SC;298,66;Laguna;Crescente/Decrescente;Ativo;-28,350722;-48,739429;ECOVIAS CAPIXABA;Controlador;BR-101;ES;37,629;Conceição da Barra;Principal;Crescente;Ativo;-18,47894;-39,92486;60;60;;
VIA COSTEIRA;P2-Tubarão;BR-101;SC;344,7;Tubarão;Crescente/Decrescente;Ativo;-28,554278;-49,054214;ECOVIAS CAPIXABA;Controlador;BR-101;ES;49,688;Conceição da Barra;Principal;Crescente/Decrescente;Ativo;-18,582989;-39,89316;60;60;;
VIA COSTEIRA;P3-Araranguá;BR-101;SC;404,55;Maracajá;Crescente/Decrescente;Ativo;-28,89774;-49,473136;ECOVIAS CAPIXABA;Controlador;BR-101;ES;60,545;São Mateus;Principal;Crescente;Ativo;-18,67697;-39,865079;60;60;;
VIA COSTEIRA;P4-São João do Sul;BR-101;SC;457,53;São João do Sul;Crescente/Decrescente;Ativo;-29,243667;-49,754475;ECOVIAS CAPIXABA;Controlador;BR-101;ES;61,625;São Mateus;Principal;Crescente/Decrescente;Ativo;-18,686299;-39,862299;60;60;;
VIA CRISTAIS;P1 - Paracatu;BR-40;MG;17,65;Paracatu;Crescente/Decrescente;Ativo;-17,09831;-47,02624;ECOVIAS CAPIXABA;Controlador;BR-101;ES;67,671;São Mateus;Principal;Crescente/Decrescente;Ativo;-18,72353;-39,860939;60;60;;
VIA CRISTAIS;P2 - Lagoa Grande;BR-40;MG;91,295;Lagoa Grande;Crescente/Decrescente;Ativo;-17,50598;-46,56465;ECOVIAS CAPIXABA;Controlador;BR-101;ES;68,316;São Mateus;Principal;Crescente/Decrescente;Ativo;-18,72916;-39,85997;60;60;;
VIA CRISTAIS;P3 - João Pinheiro;BR-40;MG;172,985;João Pinheiro;Crescente/Decrescente;Ativo;-17,94577;-46,03425;ECOVIAS CAPIXABA;Controlador;BR-101;ES;125,505;Linhares;Principal;Crescente;Ativo;-19,189859;-40,09472;60;60;;
VIA CRISTAIS;P4 - São Gonçalo do Abaeté;BR-40;MG;254,1;São Gonçalo do Abaeté;Crescente/Decrescente;Ativo;-18,13265;-45,40817;ECOVIAS CAPIXABA;Controlador;BR-101;ES;125,505;Linhares;Principal;Decrescente;Ativo;-18,189859;-40,09472;60;60;;
VIA CRISTAIS;P5 - Felixlândia;BR-40;MG;328,705;Felixlândia;Crescente/Decrescente;Ativo;-18,5654;-45,02116;ECOVIAS CAPIXABA;Controlador;BR-101;ES;125,909;Linhares;Principal;Crescente;Ativo;-19,19313;-40,09508;60;60;;
VIA CRISTAIS;P6 - Curvelo;BR-40;MG;405,353;Curvelo;Crescente/Decrescente;Ativo;-19,0793;-44,65495;ECOVIAS CAPIXABA;Controlador;BR-101;ES;125,909;Linhares;Principal;Decrescente;Ativo;-19,19313;-40,09508;60;60;;
VIA CRISTAIS;P7 - Capim Branco;BR-40;MG;487,341;Capim Branco;Crescente/Decrescente;Ativo;-19,60121;-44,22196;ECOVIAS CAPIXABA;Controlador;BR-101;ES;151,28;Linhares;Principal;Decrescente;Ativo;-19,41375;-40,0668;60;60;;
VIA MINEIRA;P1 - Itabirito;BR-40;MG;577,2;Itabirito;Crescente/Decrescente;Ativo;-20,27288;-43,95112;ECOVIAS CAPIXABA;Controlador;BR-101;ES;291,901;Cariacica;Principal;Crescente;Ativo;-20,305688;-40,394938;60;60;;
VIA MINEIRA;P2 - Lafaiete;BR-40;MG;642,85;Conselheiro Lafaiete;Crescente/Decrescente;Ativo;-20,76702;-43,80668;ECOVIAS CAPIXABA;Controlador;BR-101;ES;296,2;Cariacica;Principal;Crescente;Ativo;-20,342079;-40,40527;60;60;;
VIA MINEIRA;P3 - Barbacena;BR-40;MG;714,1;Barbacena;Crescente/Decrescente;Ativo;-21,26271;-43,66224;ECOVIAS CAPIXABA;Controlador;BR-101;ES;299,501;Viana;Principal;Crescente;Ativo;-20,357298;-40,428088;60;60;;
VIA SUL;P1-Três Cachoeiras;BR-101;RS;35,2;Três Cachoeiras;Crescente/Decrescente;Ativo;-29,520461;-49,996581;ECOVIAS CAPIXABA;Controlador;BR-101;ES;358;Anchieta;Principal;Decrescente;Ativo;-20,691939;-40,70427;60;60;;
VIA SUL;P4-Montenegro;BR-386;RS;426;Montenegro;Crescente/Decrescente;Ativo;-29,81976;-51,360405;ECOVIAS CAPIXABA;Controlador;BR-101;ES;429,78;Atílio Vivácqua;Principal;Decrescente;Ativo;-21,02858;-41,16436;60;60;;
VIA SUL;P5-Paverama;BR-386;RS;375,8;Paverama;Crescente/Decrescente;Ativo;-29,626833;-51,775773;ECOVIAS CAPIXABA;Controlador;BR-101;ES;450,364;Mimoso do Sul;Principal;Decrescente;Ativo;-21,148129;-41,2715;60;60;;
VIA SUL;P6-Fontoura Xavier;BR-386;RS;262,7;Fontoura Xavier;Crescente/Decrescente;Ativo;-28,905316;-52,396797;ECOVIAS CAPIXABA;Controlador;BR-101;ES;457,371;Mimoso do Sul;Principal;Crescente;Ativo;-21,19649;-41,300109;60;60;;
VIA SUL;P7-Victor Graeff;BR-386;RS;204,4;Victor Graeff;Crescente/Decrescente;Ativo;-28,502039;-52,644709;ECOVIAS CAPIXABA;Controlador;BR-101;ES;457,952;Mimoso do Sul;Principal;Decrescente;Ativo;-21,201799;-41,300829;60;60;;
VIA SUL;P2-Santo Antônio da Patrulha;BR-290;RS;19,4;Santo Antônio da Patrulha;Crescente/Decrescente;Ativo;-29,885897;-50,448964;ECOVIAS CAPIXABA;Controlador;BR-101;ES;159,005;Linhares;Principal;Crescente;Ativo;-19,468745;-40,110608;60;60;;
VIA SUL;P3-Gravatai;BR-290;RS;60;Gravataí;Crescente/Decrescente;Ativo;-29,925023;-50,859104;ECOVIAS CAPIXABA;Controlador;BR-101;ES;145,84;Linhares;Principal;Crescente;Ativo;-19,368887;-40,06562;60;60;;
WAY 262;Praça 02 - Nova Serrana - Free Flow;BR-262;MG;452,95;Nova Serrana;Crescente/Decrescente;Ativo;-19,812626;-45,103461;ECOVIAS CAPIXABA;Controlador;BR-101;ES;164,005;Linhares;Principal;Crescente;Ativo;-19,506561;-40,135174;60;60;;
WAY 262;Praça 05 - Ibiá - Free Flow;BR-262;MG;665,1;Ibiá;Crescente/Decrescente;Ativo;-19,55027;-46,850368;ECOVIAS CAPIXABA;Controlador;BR-101;ES;393,005;Rio Novo do Sul;Principal;Crescente/Decrescente;Ativo;-20,865632;-40,914057;60;60;;
WAY 262;Praça 01 - Florestal;BR-262;MG;384,78;Florestal;Crescente/Decrescente;Ativo;-19,909936;-44,506876;ECOVIAS CAPIXABA;Controlador;BR-101;ES;65,82;São Mateus;Marginal;Crescente;Ativo;-18,715966;-39,87601;60;60;;
WAY 262;Praça 03 - Luz;BR-262;MG;505,4;Luz;Crescente/Decrescente;Ativo;-19,788222;-45,584607;ECOVIAS CAPIXABA;Controlador;BR-101;ES;395,05;Rio Novo do Sul;Principal;Decrescente;Ativo;-20,8659;-40,9332;60;60;;
WAY 262;Praça 04 - Campos Altos;BR-262;MG;591,8;Campos Altos;Crescente/Decrescente;Ativo;-19,647218;-46,240041;ECOVIAS CAPIXABA;Controlador;BR-101;ES;447,65;Mimoso do Sul;Principal;Crescente;Ativo;-21,1282;-41,2792;60;60;;
WAY 262;Praça 06 - Perdizes;BR-262;MG;721,63;Perdizes;Crescente/Decrescente;Ativo;-19,617598;-47,34653;ECOVIAS CAPIXABA;Controlador;BR-101;ES;448,2;Mimoso do Sul;Principal;Decrescente;Ativo;-21,132;-41,28;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;402,9;Itapemirim;Principal;Decrescente;Ativo;-20,8914;-40,9993;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;402,1;Itapemirim;Principal;Crescente;Ativo;-20,8896;-40,9912;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;394,75;Rio Novo do Sul;Principal;Crescente;Ativo;-20,8657;-40,9304;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;304,6;Viana;Principal;Crescente;Ativo;-20,3818;-40,458;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;386,31;Rio Novo do Sul;Principal;Crescente;Ativo;-20,8431;-40,8747;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;304,7;Viana;Principal;Decrescente;Ativo;-20,3832;-40,4601;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;299,5;Viana;Principal;Crescente;Ativo;-20,3573;-40,4281;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;299,5;Viana;Principal;Crescente;Ativo;-20,3573;-40,4281;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;94,4;Jaguaré;Principal;Decrescente;Ativo;-18,9342;-39,9734;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;31,061;Conceição da Barra;Principal;Crescente/Decrescente;Ativo;-18,4209;-39,9356;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;150,037;Linhares;Principal;Crescente/Decrescente;Ativo;-19,4045;-40,0608;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;247,52;Serra;Principal;Decrescente;Ativo;-20,0685;-40,3646;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;146,08;Linhares;Marginal;Decrescente;Ativo;-19,371;-40,0656;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;135,5;Linhares;Principal;Decrescente;Ativo;-19,2801;-40,0874;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;166,65;Linhares;Principal;Decrescente;Ativo;-19,5254;-40,1503;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;166,2;Linhares;Principal;Crescente;Ativo;-19,5224;-40,1475;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;174,65;Aracruz;Principal;Decrescente;Ativo;-19,5862;-40,1904;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;162,35;Linhares;Principal;Decrescente;Ativo;-19,4933;-40,1284;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;174,4;Aracruz;Principal;Crescente;Ativo;-19,584;-40,1896;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;176,1;Aracruz;Principal;Crescente;Ativo;-19,5961;-40,1993;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;164,33;Linhares;Principal;Decrescente;Ativo;-19,509;-40,1367;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;176,4;Aracruz;Principal;Decrescente;Ativo;-19,5979;-40,2007;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;161,9;Linhares;Principal;Crescente;Ativo;-19,4898;-40,1261;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;190,75;Aracruz;Principal;Decrescente;Ativo;-19,6875;-40,285;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;204,7;João Neiva;Principal;Crescente;Ativo;-19,7551;-40,3801;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;184,34;Aracruz;Principal;Decrescente;Ativo;-19,6574;-40,2356;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;190,25;Aracruz;Principal;Crescente;Ativo;-19,6857;-40,2817;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;189,2;Aracruz;Principal;Decrescente;Ativo;-19,6825;-40,2718;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;188,9;Aracruz;Principal;Crescente;Ativo;-19,6807;-40,2698;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;204,9;João Neiva;Principal;Decrescente;Ativo;-19,7567;-40,3798;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;182,89;Aracruz;Principal;Crescente;Ativo;-19,6463;-40,2333;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;181,15;Aracruz;Principal;Decrescente;Ativo;-19,6324;-40,227;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;180,9;Aracruz;Principal;Crescente;Ativo;-19,6307;-40,2259;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;244,3;Serra;Principal;Crescente;Ativo;-20,0511;-40,3852;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;244,45;Serra;Principal;Decrescente;Ativo;-20,0525;-40,3843;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;237,75;Fundão;Principal;Decrescente;Ativo;-20,0013;-40,4132;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;130;Linhares;Principal;Crescente/Decrescente;Ativo;-19,2303;-40,0926;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;130;Linhares;Principal;Decrescente;Ativo;-19,2303;-40,0926;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;130;Linhares;Principal;Decrescente;Ativo;-19,2303;-40,0926;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;130;Linhares;Principal;Decrescente;Ativo;-19,2303;-40,0926;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;130;Linhares;Principal;Crescente/Decrescente;Ativo;-19,2303;-40,0926;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;253,05;Serra;Principal;Crescente/Decrescente;Ativo;-20,1051;-40,3321;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;237,1;Fundão;Principal;Crescente;Ativo;-19,9973;-40,4141;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;254,58;Serra;Principal;Decrescente;Ativo;-20,1131;-40,323;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;254,25;Serra;Principal;Crescente;Ativo;-20,1124;-40,3246;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;BA;947,188;Mucuri;Principal;Crescente;Ativo;-18,1046;-39,8844;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;260,14;Serra;Principal;Crescente;Ativo;-20,146528;-40,285608;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;291,9;Cariacica;Principal;Crescente;Ativo;-20,3057;-40,3949;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;296,22;Cariacica;Principal;Crescente;Ativo;-20,3421;-40,4053;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;33,15;Conceição da Barra;Principal;Decrescente;Ativo;-18,4394;-39,9328;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;33,15;Conceição da Barra;Principal;Crescente/Decrescente;Ativo;-18,4394;-39,9328;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;65,82;São Mateus;Principal;Crescente;Ativo;-18,7158;-39,876;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;66,18;São Mateus;Principal;Decrescente;Ativo;-18,717;-39,8735;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;66,18;São Mateus;Marginal;Decrescente;Ativo;-18,7168;-39,8734;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;79,1;São Mateus;Principal;Crescente;Ativo;-18,8147;-39,9017;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;79,1;São Mateus;Principal;Crescente/Decrescente;Ativo;-18,8147;-39,9017;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;7,9;Pedro Canário;Principal;Crescente;Ativo;-18,4394;-39,9328;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;102,74;Sooretama;Principal;Crescente/Decrescente;Ativo;-19,0026;-40,0061;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;85,2;São Mateus;Principal;Decrescente;Ativo;-18,8596;-39,9353;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;107,08;Sooretama;Principal;Crescente;Ativo;-19,0384;-40,0233;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;107,08;Sooretama;Principal;Crescente/Decrescente;Ativo;-19,0384;-40,0233;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;118,55;Sooretama;Principal;Crescente/Decrescente;Ativo;-19,1321;-40,0694;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;94,1;Jaguaré;Principal;Crescente;Ativo;-18,9318;-39,9724;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;100,45;Jaguaré;Principal;Decrescente;Ativo;-18,9839;-39,9972;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;100,05;Jaguaré;Principal;Crescente;Ativo;-18,9805;-39,9957;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;84,994;São Mateus;Principal;Crescente;Ativo;-18,858;-39,9342;60;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;135,37;Linhares;Principal;Crescente;Ativo;-19,2793;-40,0875;80;80;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;146,08;Linhares;Principal;Decrescente;Ativo;-19,3705;-40,0656;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;145,92;Linhares;Marginal;Crescente;Ativo;-19,3689;-40,0657;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;147,2;Linhares;Principal;Decrescente;Ativo;-19,3811;-40,0668;60;60;;
;;;;;;;;;;ECOVIAS CAPIXABA;Controlador;BR-101;ES;147,05;Linhares;Principal;Crescente;Ativo;-19,3794;-40,0667;60;60;;
