concessionaria;praca_de_pedagio;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
CRO;P9;2016;BR-163;MT;766,700;Sorriso;Principal;Crescente/Decrescente;Ativo;;-12,441635;-55,653798
CRO;P3 ;2016;BR-364;MT;316,550;Campo Verde;Principal;Crescente/Decrescente;Ativo;;-15,810000;-55,310000
ECO050;ARAGUARI I;2017;BR-50;MG;13,940;Araguari;Principal;Crescente/Decrescente;Ativo;;-18,540000;-48,050000
ECO050;ARAGUARI II;2017;BR-50;MG;51,500;Araguari;Principal;Crescente/Decrescente;Ativo;;-18,750000;-48,240000
ECO050;CAMPO ALEGRE;2017;BR-50;GO;226,000;Campo Alegre de Goiás;Principal;Crescente/Decrescente;Ativo;;-17,770000;-47,750000
ECO050;DELTA;2017;BR-50;MG;198,200;Delta;Principal;Crescente/Decrescente;Ativo;;-19,920000;-47,830000
ECO050;IPAMERI;2017;BR-50;GO;144,000;Ipameri;Principal;Crescente/Decrescente;Ativo;;-17,120000;-47,720000
ECO050;UBERABA;2017;BR-50;MG;104,980;Uberaba;Principal;Crescente/Decrescente;Ativo;;-19,180000;-48,160000
ECOSUL;Praça Capão Seco;1996;BR-392;RS;52,300;Rio Grande;Principal;Crescente/Decrescente;Ativo;;-31,851958;-52,326177
ECOSUL;Praça Cristal;1996;BR-116;RS;430,800;Cristal;Principal;Crescente/Decrescente;Ativo;;-31,026386;-52,049430
ECOSUL;Praça Glória;1996;BR-392;RS;111,400;Canguçu;Principal;Crescente/Decrescente;Ativo;;-31,449786;-52,640644
ECOSUL;Praça Pavão;1996;BR-116;RS;541,200;Capão do Leão;Principal;Crescente/Decrescente;Ativo;;-31,820075;-52,526711
ECOSUL;Praça Retiro;1996;BR-116;RS;510,700;Pelotas;Principal;Crescente/Decrescente;Ativo;;-31,625261;-52,318116
ECOVIAS CAPIXABA;P1 - Pedro Canário ;2020;BR-101;ES;1,000;Pedro Canário;Principal;Crescente/Decrescente;Ativo;;-18,184708;-39,922116
ECOVIAS CAPIXABA;P2 - São Mateus ;2020;BR-101;ES;85,800;São Mateus;Principal;Crescente/Decrescente;Ativo;;-18,863974;-39,938705
ECOVIAS CAPIXABA;P3 - Aracruz ;2020;BR-101;ES;171,700;Aracruz;Principal;Crescente/Decrescente;Ativo;;-19,563099;-40,177621
ECOVIAS CAPIXABA;P4 - Serra ;2020;BR-101;ES;242,000;Serra;Principal;Crescente/Decrescente;Ativo;;-20,032565;-40,396624
ECOVIAS CAPIXABA;P5 - Guarapari ;2020;BR-101;ES;320,800;Guarapari;Principal;Crescente/Decrescente;Ativo;;-20,519316;-40,478609
ECOVIAS CAPIXABA;P6 - Itapemirim ;2020;BR-101;ES;398,900;Itapemirim;Principal;Crescente/Decrescente;Ativo;;-20,878586;-40,966118
ECOVIAS CAPIXABA;P7 - Mimoso do Sul ;2020;BR-101;ES;452,000;Mimoso do Sul;Principal;Crescente/Decrescente;Ativo;;-21,158397;-41,280614
ECOVIAS DO ARAGUAIA;P1 - Aliança do Tocantins;2021;BR-153;TO;640,000;Aliança do Tocantins;Principal;Crescente/Decrescente;Ativo;;-11,446100;-48,990283
ECOVIAS DO ARAGUAIA;P2 - Alvorada;2021;BR-153;TO;744,910;Alvorada;Principal;Crescente/Decrescente;Ativo;;-12,340000;-49,150000
ECOVIAS DO ARAGUAIA;P3 - Porangatu;2021;BR-153;GO;12,500;Porangatu;Principal;Crescente/Decrescente;Ativo;;-12,943414;-49,133122
ECOVIAS DO ARAGUAIA;P4 - Estrela do Norte;2021;BR-153;GO;116,120;Estrela do Norte;Principal;Crescente/Decrescente;Ativo;;-13,791358;-49,034842
ECOVIAS DO ARAGUAIA;P5 - Campinorte;2021;BR-153;GO;182,040;Campinorte;Principal;Crescente/Decrescente;Ativo;;-14,372969;-49,158264
ECOVIAS DO ARAGUAIA;P6 - Hidrolina;2021;BR-153;GO;233,400;Hidrolina;Principal;Crescente/Decrescente;Ativo;;-14,799372;-49,284164
ECOVIAS DO ARAGUAIA;P7 - Jaraguá;2021;BR-153;GO;367,500;Jaraguá;Principal;Crescente/Decrescente;Ativo;;-15,827072;-49,281722
ECOVIAS DO ARAGUAIA;P8 - Santa Rita do Novo Destino;2021;BR-80;GO;155,500;Santa Rita do Novo Destino;Principal;Crescente/Decrescente;Ativo;;-14,814189;-49,042442
ECOVIAS DO ARAGUAIA;P9 - Corumbá de Goiás;2021;BR-414;GO;404,080;Corumbá de Goiás;Principal;Crescente/Decrescente;Ativo;;-16,001028;-48,840289
ECOVIAS DO CERRADO;P6 - CACHOEIRA ALTA;2020;BR-364;GO;92,850;Cachoeira Alta;Principal;Crescente/Decrescente;Ativo;;-18,470000;-51,080000
ECOVIAS DO CERRADO;P7 - JATAÍ;2020;BR-364;GO;156,180;Jataí;Principal;Crescente/Decrescente;Ativo;;-18,110000;-51,480000
ECOVIAS DO CERRADO;P1 - UBERLÂNDIA;2020;BR-365;MG;646,000;Uberlândia;Principal;Crescente/Decrescente;Ativo;;-18,880000;-48,520000
ECOVIAS DO CERRADO;P2 - MONTE ALEGRE;2020;BR-365;MG;704,120;Monte Alegre de Minas;Principal;Crescente/Decrescente;Ativo;;-18,880000;-49,040000
ECOVIAS DO CERRADO;P3 - ITUIUTABA;2020;BR-365;MG;765,370;Ituiutaba;Principal;Crescente/Decrescente;Ativo;;-18,960000;-49,590000
ECOVIAS DO CERRADO;P4 - SANTA VITÓRIA;2020;BR-365;MG;834,450;Santa Vitória;Principal;Crescente/Decrescente;Ativo;;-18,912533;-50,224138
ECOVIAS DO CERRADO;P5 - PARANAIGUARA;2020;BR-364;GO;32,600;Paranaiguara;Principal;Crescente/Decrescente;Ativo;;-18,880000;-50,760000
ECOVIAS PONTE;NITEROÍ-1;2017;BR-101;RJ;322,230;Niterói;Principal;Decrescente;Ativo;;-22,877944;-43,115734
ECOVIAS RIO MINAS;P03 Santo Aleixo;2021;BR-116;RJ;118,702;Magé;Principal;Crescente/Decrescente;Ativo;;-22,610815;-43,032112
ECOVIAS RIO MINAS;P04 Viúva Graça;2021;BR-116;RJ;211,674;Seropédica;Principal;Crescente/Decrescente;Ativo;;-22,716277;-43,716858
ECOVIAS RIO MINAS;P05 Viúva Graça (B);2021;BR-116;RJ;213,103;Seropédica;Principal;Crescente/Decrescente;Ativo;;-22,715213;-43,730252
ECOVIAS RIO MINAS;P06 Itaguaí;2021;BR-493;RJ;112,700;Itaguaí;Principal;Crescente/Decrescente;Ativo;;-22,820833;-43,805000
ECOVIAS RIO MINAS;P07 Magé;2021;BR-116;RJ;118,200;Magé;Principal;Crescente/Decrescente;Ativo;;-22,607222;-43,028611
ECOVIAS RIO MINAS;P08 Guapimirim;2021;BR-493;RJ;13,860;Guapimirim;Principal;Crescente/Decrescente;Ativo;;-22,670000;-42,980000
ECOVIAS RIO MINAS;P09 Leopoldina;2021;BR-116;MG;784,320;Leopoldina;Principal;Crescente/Decrescente;Ativo;;-21,638611;-42,710277
ECOVIAS RIO MINAS;P10 Laranjal;2021;BR-116;MG;724,020;Laranjal;Principal;Crescente/Decrescente;Ativo;;-21,278333;-42,412222
ECOVIAS RIO MINAS;P11 São Francisco do Glória;2021;BR-116;MG;664,000;São Francisco do Glória;Principal;Crescente/Decrescente;Ativo;;-20,823611;-42,321111
ECOVIAS RIO MINAS;P12 São João do Manhuaçu;2021;BR-116;MG;610,940;São João do Manhuaçu;Principal;Crescente/Decrescente;Ativo;;-20,430277;-42,163055
ECOVIAS RIO MINAS;P13 Santa Bárbara do Leste;2021;BR-116;MG;551,880;Santa Bárbara do Leste;Principal;Crescente/Decrescente;Ativo;;-19,991666;-42,143611
ECOVIAS RIO MINAS;P14 Inhapim;2021;BR-116;MG;488,700;Inhapim;Principal;Crescente/Decrescente;Ativo;;-19,468055;-42,133888
ECOVIAS RIO MINAS;P15 Engenheiro Caldas;2021;BR-116;MG;433,600;Engenheiro Caldas;Principal;Crescente/Decrescente;Ativo;;-19,027777;-41,989444
ELOVIAS;P1;2020;BR-40;RJ;101,825;Duque de Caxias;Principal;Crescente/Decrescente;Ativo;;-22,610206;-43,285708
ELOVIAS;P2;2020;BR-40;RJ;45,819;Petrópolis;Principal;Crescente/Decrescente;Ativo;;-22,284389;-43,120269
ELOVIAS;P3;2020;BR-40;MG;819,379;Simão Pereira;Principal;Crescente/Decrescente;Ativo;;-21,928252;-43,316282
EPR IGUAÇU;P02 PRUDENTROPOLIS;2019;BR-277;PR;308,290;Prudentópolis;Principal;Crescente/Decrescente;Ativo;;-25,309611;-51,168325
EPR IGUAÇU;P03 CANDOI;2019;BR-277;PR;393,040;Candói;Principal;Crescente/Decrescente;Ativo;;-25,443731;-51,859064
EPR IGUAÇU;P04 LARANJEIRAS DO SUL;2019;BR-277;PR;468,110;Laranjeiras do Sul;Principal;Crescente/Decrescente;Ativo;;-25,346486;-52,491192
